Set,Number,Duration,Flow,Pressure,Ratio of flow to pressure
1,1,25,3.6,1.11,3.25
1,2,20,7.65,2.36,3.24
1,3,15,12,4,3
1,4,18,14.28,4.9,2.91
1,5,17,15.2,5.02,3.03
1,6,17,21.8,7.63,2.86
1,7,11,23.41,8.13,2.88
1,8,15,24.5,8.58,2.85
1,9,13,27.8,9.86,2.82
1,10,10,29.4,10.89,2.7
,,,,,
2,1,30,2.66,2.6,1.01
2,2,21,4.28,4.7,0.91
2,3,26,6.26,7.71,0.81
2,4,18,8.6,10.34,0.83
2,5,10,8.9,10.75,0.83
2,6,24,10.4,12.34,0.84
,,,,,
3,1,31,2.13,2.57,0.83
3,2,20,3.9,5.09,0.77
3,3,17,7.25,9.46,0.76
3,4,20,8.55,12.35,0.69
,,,,,
4,1,20,5.25,6.98,0.75
4,2,20,7,9.95,0.7
4,3,20,10.3,13.93,0.74
