Set,Number,Duration,Flow,Pressure at top,Pressure at bottom,Pressure difference,Ratio of flow to pressure
1,1,15,18.8,9.48,-3.6,13.08,1.44
1,2,15,18.3,12.88,0,12.88,1.42
1,3,10,18,9.8,-2.78,12.58,1.43
1,4,10,17.4,12.87,0.46,12.41,1.4
1,5,20,18.1,12.8,0.49,12.35,1.47
1,6,16,14.9,8.86,-0.83,9.69,1.54
1,7,15,12.1,12.84,4.4,8.44,1.43
1,8,15,9.8,6.71,0,6.71,1.46
1,9,20,7.9,12.81,7.03,5.78,1.37
1,10,20,8.65,5.58,0,5.58,1.55
1,11,20,4.5,2.98,0,2.98,1.51
1,12,20,4.15,12.86,9.88,2.98,1.39
